Sum Range ID,Operator
Southern_PGAE_Li_Battery_8hr_99_FCDS_constraint,==
Tehachapi_Adiabatic_CAES_13_FCDS_constraint,==
Tehachapi_Flow_Battery_101_FCDS_constraint,==
Tehachapi_Flow_Battery_125_FCDS_constraint,==
Tehachapi_Flow_Battery_13_FCDS_constraint,==
Tehachapi_Flow_Battery_28_FCDS_constraint,==
Tehachapi_Flow_Battery_32_FCDS_constraint,==
Tehachapi_Flow_Battery_66_FCDS_constraint,==
Tehachapi_Flow_Battery_78_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_101_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_125_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_13_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_28_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_32_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_66_FCDS_constraint,==
Tehachapi_Li_Battery_4hr_78_FCDS_constraint,==
Tehachapi_Li_Battery_8hr_101_FCDS_constraint,==
Tehachapi_Li_Battery_8hr_125_FCDS_constraint,==
Tehachapi_Li_Battery_8hr_13_FCDS_constraint,==
Tehachapi_Li_Battery_8hr_28_FCDS_constraint,==
Tehachapi_Li_Battery_8hr_32_FCDS_constraint,==
