Time_Index,BANC_Hydro,CAISO_Hydro,Customer_PV,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
214,795.805,3602.493,0.0,21.6,13586.592,1231.681,1263.27
215,490.164,3762.578,0.0,420.904,13586.592,1231.681,1567.109
216,391.179,3762.578,0.0,181.172,13586.592,1231.681,1567.109
217,1227.288,3982.621,0.0,390.298,12881.522,1204.251,310.49
218,934.317,3982.621,0.0,17.1,11995.061,1204.251,1727.789
219,576.198,3759.341,0.0,17.1,11119.722,1204.251,1727.789
220,1469.698,3079.799,0.0,17.1,10616.572,1185.364,310.49
221,576.198,2957.22,0.0,316.21,10086.623,1103.483,310.49
222,576.198,2806.661,494.442,17.1,10899.696,1000.759,1727.789
223,576.198,2323.034,4132.119,17.1,9606.438,883.52,1047.143
224,576.198,1643.492,9800.539,17.1,8239.281,759.581,310.49
225,576.198,1643.492,15027.493,17.1,8239.281,746.925,310.49
226,576.198,1643.492,19159.612,17.1,8239.281,746.925,310.49
227,576.198,1643.492,21914.358,17.1,8239.281,746.925,310.49
228,576.198,1643.492,23574.27,17.1,8239.281,746.925,310.49
229,576.198,1643.492,23503.635,17.1,8239.281,746.925,310.49
230,576.198,1643.492,22373.483,17.1,8239.281,746.925,310.49
231,576.198,1643.492,19724.689,17.1,8239.281,746.925,310.49
232,576.198,1643.492,15786.814,17.1,9114.452,746.925,310.49
233,576.198,1643.492,10683.47,17.1,10407.709,746.925,310.49
234,576.198,1643.492,4873.782,17.1,11774.867,870.864,310.49
235,1469.698,2464.905,706.345,390.298,12908.007,988.103,1727.789
236,1469.698,2806.661,0.0,390.298,13284.011,1090.827,1727.789
237,1469.698,2957.22,0.0,17.1,13284.011,1172.708,590.858
238,1469.698,3079.799,0.0,390.298,13284.011,1204.251,1727.789
239,1469.698,3901.213,0.0,390.298,13284.011,1204.251,1727.789
240,1469.698,3982.621,0.0,17.1,13284.011,1204.251,1727.789
241,879.893,2706.2,0.0,442.703,10174.445,1244.373,1383.212
242,850.72,3527.613,0.0,442.703,11467.703,1244.373,1073.24
243,741.618,3185.857,0.0,27.7,12600.842,1244.373,166.906
244,700.549,2364.444,0.0,27.7,13504.07,1244.373,1383.212
245,571.891,2605.738,0.0,379.22,13726.592,1224.2,166.906
246,688.829,2483.159,0.0,27.7,13726.592,1142.319,1383.212
247,787.192,2332.6,459.124,27.7,13726.592,1039.595,166.906
248,796.078,1809.027,1995.425,27.7,13726.592,922.356,1383.212
249,458.153,1169.431,4644.219,27.7,13726.592,798.417,177.288
250,196.309,1169.431,7610.869,27.7,12823.365,798.417,166.906
