Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
,,,,,,,,595,1338.0,0
,,,,,,,,596,1365.0,0
,,,,,,,,597,1370.0,0
,,,,,,,,598,1295.0,0
,,,,,,,,599,1257.0,0
,,,,,,,,600,1182.0,0
,,,,,,,,601,1083.0,0
,,,,,,,,602,1008.0,0
,,,,,,,,603,967.0,0
,,,,,,,,604,965.0,0
,,,,,,,,605,1025.0,0
,,,,,,,,606,1131.0,0
,,,,,,,,607,1160.0,0
,,,,,,,,608,992.0,0
,,,,,,,,609,814.0,0
,,,,,,,,610,685.0,0
,,,,,,,,611,552.0,0
,,,,,,,,612,518.0,0
,,,,,,,,613,518.0,0
,,,,,,,,614,570.0,0
,,,,,,,,615,683.0,0
,,,,,,,,616,804.0,0
,,,,,,,,617,1015.0,0
,,,,,,,,618,1220.0,0
,,,,,,,,619,1315.0,0
,,,,,,,,620,1350.0,0
,,,,,,,,621,1380.0,0
,,,,,,,,622,1294.0,0
,,,,,,,,623,1259.0,0
,,,,,,,,624,1189.0,0
,,,,,,,,625,1081.0,0
,,,,,,,,626,1006.0,0
,,,,,,,,627,966.0,0
,,,,,,,,628,965.0,0
,,,,,,,,629,1022.0,0
,,,,,,,,630,1123.0,0
,,,,,,,,631,1144.0,0
,,,,,,,,632,1006.0,0
,,,,,,,,633,855.0,0
,,,,,,,,634,709.0,0
,,,,,,,,635,627.0,0
,,,,,,,,636,639.0,0
,,,,,,,,637,642.0,0
,,,,,,,,638,726.0,0
,,,,,,,,639,796.0,0
,,,,,,,,640,906.0,0
,,,,,,,,641,1114.0,0
,,,,,,,,642,1297.0,0
,,,,,,,,643,1370.0,0
,,,,,,,,644,1369.0,0
,,,,,,,,645,1377.0,0
,,,,,,,,646,1301.0,0
,,,,,,,,647,1265.0,0
,,,,,,,,648,1173.0,0
,,,,,,,,649,1087.0,0
,,,,,,,,650,1009.0,0
,,,,,,,,651,963.0,0
,,,,,,,,652,948.0,0
,,,,,,,,653,964.0,0
,,,,,,,,654,991.0,0
,,,,,,,,655,945.0,0
,,,,,,,,656,827.0,0
,,,,,,,,657,745.0,0
,,,,,,,,658,599.0,0
,,,,,,,,659,536.0,0
,,,,,,,,660,368.0,0
,,,,,,,,661,635.0,0
,,,,,,,,662,703.0,0
