Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Min_Cap_MW,Var_OM_Cost_per_MWh,Fuel,PWFU_Fuel_Usage_Zero_Load_MMBTU_per_h,PWFU_Heat_Rate_MMBTU_per_MWh_1,PWFU_Load_Point_MW_1,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
NW_Nuclear,6,1,0,0,1170.0,-1,0.0,0.0,0,1.65,Uranium,4253.6633,3.6356,99999,1170.0,123.93247863247863,0,24,24,0.01,0.01,0.5,0,0,0.01,0.01,NW,1
NW_Peaker1,6,1,0,0,259.8,-1,0.0,0.0,0,1.65,NW_Natural_Gas,148.122006,5.861544947586617,99999,51.96,99.13675904541955,1.6200009692940722,2,2,5.91,5.91,0.1824234026,0,0,0.01,0.01,NW,1
NW_Peaker1_New_Planned,6,1,0,0,5384.9,-1,0.0,0.0,0,1.65,NW_Natural_Gas,148.122006,5.861544947586617,99999,51.96,99.13675904541955,1.6200009692940722,2,2,5.9,5.9,0.1824234026,0,0,0.01,0.01,NW,1
NW_Peaker2,6,1,0,0,811.1,-1,0.0,0.0,0,1.65,NW_Natural_Gas,151.814244,8.250186914960247,99999,73.73636363636365,90.51263740599184,1.6200009692929354,2,2,5.9,5.9,0.1448356229,0,0,0.01,0.01,NW,1
NW_Reciprocating_Engine,6,1,0,0,249.0,-1,0.0,0.0,0,1.65,NW_Natural_Gas,21.844358,6.340664539758556,99999,13.83333333333333,6.289836626506026,1.620000969294217,2,1,8.98,8.98,0.076,0,0,0.01,0.01,NW,1
Northern_California_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
Northern_Nevada_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
Pacific_Northwest_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,1.65,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
SW_Biogas,7,1,0,0,25.8,-1,0.0,0.0,0,1.65,Biomass,0.0,13.424999999999999,99999,6.300000000000001,0,0,0,0,0.5,0.5,0.1396825397,0,0,0.01,0.01,SW,1
SW_Biomass,7,1,0,0,16.0,-1,0.0,0.0,0,1.65,Biomass,0.0,16.01,99999,16.0,0,0,8,8,0.5,0.5,0.264,0,0,0.01,0.01,SW,1
SW_CCGT1,7,1,0,0,3440.2,-1,0.0,0.0,0,0.2444,SW_Natural_Gas,8.436459,7.297829998191055,99999,235.24666666666664,89.88884943463597,7.792233925491257,7,4,0.57,0.57,0.2636570891,0,0,0.01,0.01,SW,1
SW_CCGT2,7,1,0,0,13158.8,-1,0.0,0.0,0,0.2591122944,SW_Natural_Gas,0.0,9.146060636351823,99999,401.7294117647059,90.4966666910709,7.890601959352945,8,5,0.99,0.99,0.1769209465,0,0,0.01,0.01,SW,1
SW_Coal,7,1,0,0,1377.4,-1,0.0,0.0,0,2.484733333,SW_Coal_Fuel,258.505375,9.67397516354376,99999,410.19999999999993,143.780415650902,0,24,24,0.54,0.54,0.228975195,0,0,0.01,0.01,SW,1
SW_Geothermal,7,1,0,0,1259.64,-1,0.0,0.0,0,1.0904,None,0.0,0.0,99999,21.34983050847458,0,0,13,5,0.5,0.5,0.316738389,0,0,0.01,0.01,SW,1
SW_Nuclear,7,1,0,0,2998.0,-1,0.0,0.0,0,1.8001,Uranium,2450.0,1.8665,99999,999.3333333333334,170.81020680453636,0,24,24,0.01,0.01,0.0,0,0,0.01,0.01,SW,1
SW_Peaker1,7,1,0,0,3280.5,-1,0.0,0.0,0,1.6615823363,SW_Natural_Gas,89.721675,6.969588994556249,99999,54.44852941176474,83.99674679270754,1.8597742388744103,2,2,5.91,5.91,0.1952611207,0,0,0.01,0.01,SW,1
SW_Peaker1_New_Planned,7,1,0,0,4314.0,-1,0.0,0.0,0,1.6615823363,SW_Natural_Gas,89.721675,6.969588994556249,99999,54.44852941176474,83.99674679270754,1.8597742388744103,2,2,5.9,5.9,0.1952611207,0,0,0.01,0.01,SW,1
SW_Peaker2,7,1,0,0,1146.3,-1,0.0,0.0,0,1.4841831632,SW_Natural_Gas,55.205676,10.916958049825219,99999,54.58571428571428,99.19812701736022,1.620000969294426,3,2,5.9,5.9,0.1528204412,0,0,0.01,0.01,SW,1
SW_Reciprocating_Engine,7,1,0,0,116.2,-1,0.0,0.0,0,1.034,SW_Natural_Gas,0.0,10.722867469900006,99999,8.299999999999999,5.733295180722893,1.6200009693012047,5,3,8.98,8.98,0.11,0,0,0.01,0.01,SW,1
SW_ST,7,1,0,0,522.5,-1,0.0,0.0,0,0.3008,SW_Natural_Gas,0.0,10.059531919699142,99999,126.08333333333333,93.41943952412426,12.292029975955058,12,8,0.46,0.46,0.1204573695,0,0,0.01,0.01,SW,1
Utah_Geothermal,2,1,1,0,0.0,-1,0.0,0.0,0,0.0,None,0.0,0.0,99999,1.0,0,0,11,4,0.5,0.5,0.5507807191,1,1,0.01,0.01,CAISO,1
