Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Time_Index
,,,,,,,,2629.948345,40414.005074192995,0,395.1798499,4022.126048,28778.33989,16336.56326,177
,,,,,,,,2671.608232,42081.796533643705,0,409.9972604,4104.298516,28523.30235,15194.96525,178
,,,,,,,,2694.72275,42445.78938,0,413.7138386,4134.572583,28405.40764,14433.89992,179
,,,,,,,,2682.762331,41760.50847,0,402.1728852,4110.982401,28015.63329,13925.30727,180
,,,,,,,,2645.671593,40739.366602760005,0,395.4243616,4101.546328,27825.95914,13516.81214,181
,,,,,,,,2618.122312,39875.88383,0,394.3974124,4068.520073,27511.57324,13290.6809,182
,,,,,,,,2579.015773,38516.736452812496,0,379.9712206,4006.79243,27320.29508,13160.99991,183
,,,,,,,,2537.490273,37009.04706,0,366.0829546,3959.218896,27470.67099,13320.66963,184
,,,,,,,,2559.260924,35232.888283170505,0,358.9432122,4014.262654,28376.53547,13980.01644,185
,,,,,,,,2721.734483,37302.826120975995,0,390.3874201,4250.557645,29773.62791,15094.46248,186
,,,,,,,,2765.813331,38232.96293,0,410.926405,4347.277392,29972.92611,16216.60834,187
,,,,,,,,2721.196936,37736.09469,0,408.9214088,4276.506845,29327.31221,16153.38885,188
,,,,,,,,2653.60041,37028.52829436221,0,401.9772758,4173.103214,28321.59813,16179.7303,189
,,,,,,,,2559.932858,37333.00529,0,387.5510841,3980.45006,26688.31527,15901.72667,190
,,,,,,,,2392.89015,36537.87117,0,361.3883295,3683.213765,25071.4735,15052.72141,191
,,,,,,,,2222.219,36961.48514,0,330.9221686,3367.498495,23759.79457,14279.49848,192
,,,,,,,,2098.717593,36662.229026697496,0,308.9161133,3168.554626,23064.05537,13804.94709,193
,,,,,,,,2019.295035,33502.37858,0,296.4460153,3041.167643,22921.2985,13684.18167,194
,,,,,,,,1973.334772,30365.00753,0,291.3112691,2967.644908,23100.94759,13717.41242,195
,,,,,,,,1972.931612,28290.76793,0,288.2793237,2927.541599,23581.34849,13763.61128,196
,,,,,,,,2030.314747,27999.935664297704,0,292.5338277,2977.867321,24565.00744,14294.49285,197
,,,,,,,,2174.10855,29650.33731,0,313.5129337,3216.12816,26467.36293,15370.43985,198
,,,,,,,,2400.147033,33145.033477942605,0,344.5170205,3573.519419,28844.50529,16576.47309,199
,,,,,,,,2515.316462,36866.467165348404,0,368.7725836,3735.898505,30250.01879,16752.7582,200
,,,,,,,,2569.339929,40175.17668,0,397.7227718,3879.012277,30184.25439,16375.87281,201
,,,,,,,,2606.69944,41730.644073632495,0,414.3984715,4028.023594,29809.31712,15223.73822,202
,,,,,,,,2628.335704,42134.41326,0,414.3006668,4081.887843,29437.98888,14450.11004,203
,,,,,,,,2625.379196,41386.76844,0,406.4273892,4067.733734,28822.04916,13876.67689,204
,,,,,,,,2594.067087,40514.48439,0,399.0920375,4036.280158,28404.60564,13445.08234,205
,,,,,,,,2574.849785,39648.034127671206,0,396.5002132,4010.724127,27958.28994,13139.11624,206
,,,,,,,,2515.182076,38266.10285,0,379.7756112,3960.398405,27681.59827,12994.44088,207
,,,,,,,,2483.198034,36678.38394,0,369.0170953,3901.42295,27813.52806,13133.4427,208
,,,,,,,,2498.921281,34733.82033,0,360.8015014,3979.270551,28599.09181,13749.42742,209
,,,,,,,,2640.83367,36702.751897375296,0,393.5171702,4212.420184,29661.74823,14751.61835,210
,,,,,,,,2651.315835,37533.50942,0,413.0292058,4293.413142,29901.54768,15615.21272,211
,,,,,,,,2598.098689,36861.070220687696,0,410.3395768,4200.231923,29207.01148,15492.42103,212
,,,,,,,,2540.178008,36187.49988,0,398.9942328,4102.725837,28360.49537,15437.71186,213
,,,,,,,,2446.644842,36773.66767,0,381.2426816,3928.551659,27009.51821,15057.58445,214
,,,,,,,,2302.179106,36087.01207,0,356.5958997,3667.880147,25579.94457,14375.54347,215
,,,,,,,,2144.543469,36630.19869,0,329.5529029,3383.618453,24184.45614,13706.06534,216
,,,,,,,,2027.089465,36319.19278,0,305.3951445,3154.793686,23208.41624,13224.62465,217
,,,,,,,,1948.204454,33063.41658,0,289.45298,3034.483758,22868.76719,13025.24012,218
,,,,,,,,1896.465562,29759.858854035698,0,282.3132376,2924.003071,22745.65944,12937.30019,219
,,,,,,,,1874.022977,27435.235457059298,0,278.8411711,2856.771052,22788.9677,12843.28147,220
,,,,,,,,1887.05849,26557.75003,0,280.2593392,2828.856004,23042.80224,13074.27574,221
,,,,,,,,1941.485117,27167.531061529102,0,290.871148,2903.951417,23776.23567,13501.41252,222
,,,,,,,,2059.476668,29776.04931,0,307.8891641,3074.587067,25299.24287,14250.32026,223
,,,,,,,,2148.037524,33325.57635,0,326.7165669,3226.350572,26766.51074,14537.23946,224
,,,,,,,,2240.764369,36950.47392,0,355.226634,3392.268186,27358.39031,14546.96553,225
,,,,,,,,2312.526884,38766.013224451905,0,376.9392752,3560.937988,27667.96419,13978.39542,226
,,,,,,,,2353.649224,39204.76536,0,381.6339003,3642.717286,27758.18973,13562.60574,227
,,,,,,,,2361.174881,38396.682109579204,0,383.8834082,3659.230414,27331.92415,13272.44451,228
,,,,,,,,2340.613711,37403.880109514495,0,377.5750057,3595.930092,26964.20493,12929.60038,229
,,,,,,,,2300.835238,36587.58392,0,368.7236812,3562.510667,26584.05464,12806.40344,230
,,,,,,,,2266.969782,35471.73603,0,355.0310246,3512.578115,26675.88419,12778.03572,231
,,,,,,,,2242.108236,34113.06669,0,342.4142196,3486.628915,26914.07963,13080.75979,232
,,,,,,,,2268.044876,32498.4051,0,336.2525242,3562.117497,27811.12205,13701.2023,233
,,,,,,,,2411.973066,34742.18652,0,366.4741734,3851.490398,28915.08172,14637.74223,234
,,,,,,,,2426.755606,35791.44287,0,378.895369,3991.458812,29135.63305,15486.34224,235
,,,,,,,,2386.977133,35205.11534,0,372.097943,3966.295951,28538.94145,15277.23163,236
,,,,,,,,2336.313335,34539.086768112305,0,364.9092983,3916.756568,27696.83636,15147.55064,237
,,,,,,,,2249.902667,35390.705218907904,0,351.118837,3800.771506,26432.87672,14831.45322,238
,,,,,,,,2126.670034,35009.27513,0,330.6287545,3588.066698,25059.04242,14146.98072,239
,,,,,,,,1991.476981,35841.893509409805,0,308.9650157,3310.882058,22981.04786,13514.38062,240
,,,,,,,,1888.939905,35768.13287,0,288.9639566,3107.613322,23337.13802,13101.83295,241
,,,,,,,,1819.865124,32582.595719563902,0,276.2493469,2992.4146,23096.13556,12848.54976,242
,,,,,,,,1783.44632,29301.34307,0,270.038749,2887.831459,23133.82979,12699.01137,243
,,,,,,,,1767.723072,26932.948444956597,0,267.9359482,2813.522385,23206.41123,12626.47106,244
,,,,,,,,1774.308022,25889.57859,0,267.5447295,2760.444476,23381.64928,12827.88185,245
,,,,,,,,1808.711026,26165.01999,0,275.2223976,2789.145864,23940.24566,13216.92484,246
,,,,,,,,1898.346976,28379.780748935496,0,286.6655463,2933.832314,25387.0624,13736.45932,247
,,,,,,,,1977.500761,31768.98804,0,303.8302694,3027.406703,26843.5032,13960.96954,248
