Time_Index,Arizona_Solar,BTM_Solar,DaggettSolarPower3,EdwardsSolarII,FervoFECNevada1,Greater_Imperial_Geothermal,Humboldt_Bay_Offshore_Wind,InState_Biomass,Morro_Bay_Offshore_Wind,New_Mexico_Wind,Northern_California_Geothermal,Northern_California_Solar,Northern_California_Wind,NW_Ext_Tx_Wind,Riverside_Palm_Springs_Wind,Riverside_Solar,RosamondCentral,Scarlet,Southern_Nevada_Geothermal,SummitWind,Tecolote,TulareSolarCenter,Wyoming_Wind,Hybrid_Solar_Test,Hybrid_Wind_Test,CAM_CAM_RA_i,CAM_CAM_RA_ii,CAM_CAM_RA_iii,CAM_DR_RA,CAM_CPE_RA_i,CAM_CPE_RA_ii,Aramis,CALP01RA2027,CHEV01RA2024,CHEV01RA2025,EBMUD01RA2024,GEN01RA2026,HDP01RA2027,HDP01RA2028,HDP01RA2030,HenriettaStorage,MRL01RA2030,NEXT01RA2026,Oberon,OhmConnect,Sanborn,SDGE01RA2024,SENA01RA2027,SUN01RA2031,TPS01RA2024,Tumbleweed,Generic_6hr_battery,Generic_8hr_battery,Generic_RA_Only,Arizona_Li_Battery,CAISO_Advanced_CCGT_candidate,CAISO_Aero_CT_candidate,CAISO_New_Flow_Battery,CAISO_Reciprocating_Engine_candidate,CAISO_Shed_DR_Tranche1,Northern_California_Li_Battery,Riverside_Li_Battery,Riverside_West_Pumped_Storage,Tehachapi_Pumped_Storage
36,1.0,0.201,0.748,0.646,0.801,0.881,0.86,0.85,0.43,0.075,0.81,0.473,0.063,0.561,0.72,0.989,0.14,0.324,0.843,0.405,0.096,0.464,0.932,0.989,0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1.0,0.273,0.756,0.647,0.801,0.881,0.84,0.85,0.59,0.076,0.81,0.269,0.065,0.574,0.739,0.979,0.248,0.353,0.843,0.282,0.157,0.521,0.927,0.979,0.739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.965,0.209,0.794,0.699,0.801,0.881,0.85,0.85,0.92,0.082,0.81,0.279,0.068,0.579,0.766,0.941,0.334,0.36,0.843,0.14,0.068,0.492,0.912,0.941,0.766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.854,0.191,0.846,0.74,0.801,0.881,0.85,0.85,0.87,0.089,0.81,0.333,0.065,0.585,0.776,0.768,0.201,0.148,0.843,0.072,0.02,0.439,0.91,0.768,0.776,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.581,0.084,0.662,0.617,0.801,0.881,0.82,0.85,0.96,0.092,0.81,0.29,0.082,0.621,0.69,0.514,0.059,0.088,0.843,0.048,0.087,0.408,0.917,0.514,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.097,0.027,0.059,0.079,0.801,0.881,0.76,0.85,0.98,0.118,0.81,0.068,0.111,0.657,0.582,0.142,0.026,0.025,0.843,0.093,0.377,0.063,0.93,0.142,0.582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.0,0.0,0.0,0.0,0.801,0.881,0.73,0.85,0.89,0.173,0.81,0.0,0.124,0.674,0.492,0.0,0.0,0.0,0.843,0.252,0.396,0.0,0.949,0.0,0.492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0.0,0.0,0.0,0.0,0.801,0.881,0.7,0.85,0.96,0.215,0.81,0.0,0.126,0.73,0.452,0.0,0.0,0.0,0.843,0.164,0.241,0.0,0.949,0.0,0.452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.0,0.0,0.0,0.0,0.801,0.881,0.68,0.85,1.0,0.231,0.81,0.0,0.123,0.768,0.462,0.0,0.0,0.0,0.843,0.143,0.161,0.0,0.947,0.0,0.462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.0,0.0,0.0,0.0,0.801,0.881,0.69,0.85,1.0,0.263,0.81,0.0,0.134,0.812,0.491,0.0,0.0,0.0,0.843,0.186,0.075,0.0,0.946,0.0,0.491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,0.0,0.0,0.0,0.0,0.801,0.881,0.62,0.85,1.0,0.311,0.81,0.0,0.178,0.843,0.421,0.0,0.0,0.0,0.843,0.287,0.225,0.0,0.935,0.0,0.421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.0,0.0,0.0,0.0,0.801,0.881,0.46,0.85,1.0,0.363,0.81,0.0,0.23,0.838,0.365,0.0,0.0,0.0,0.843,0.249,0.065,0.0,0.902,0.0,0.365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0.0,0.0,0.0,0.0,0.801,0.881,0.3,0.85,1.0,0.403,0.81,0.0,0.278,0.775,0.332,0.0,0.0,0.0,0.843,0.203,0.251,0.0,0.898,0.0,0.332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0.0,0.0,0.0,0.0,0.801,0.881,0.21,0.85,1.0,0.456,0.81,0.0,0.33,0.702,0.289,0.0,0.0,0.0,0.843,0.132,0.369,0.0,0.91,0.0,0.289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.0,0.0,0.0,0.0,0.801,0.881,0.17,0.85,1.0,0.472,0.81,0.0,0.389,0.656,0.207,0.0,0.0,0.0,0.843,0.166,0.756,0.0,0.918,0.0,0.207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0.0,0.0,0.0,0.0,0.801,0.881,0.15,0.85,1.0,0.497,0.81,0.0,0.424,0.636,0.144,0.0,0.0,0.0,0.843,0.134,0.786,0.0,0.921,0.0,0.144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,0.0,0.0,0.0,0.0,0.801,0.881,0.13,0.85,1.0,0.526,0.81,0.0,0.434,0.577,0.077,0.0,0.0,0.0,0.843,0.104,0.88,0.0,0.902,0.0,0.077,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
