BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,VRE_Storage_Discharge,VRE_Storage_Charge,Market_Buy,Market_Sell
t135,490.23773475313016,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-642.0,70.44999999999999,-0.0,188.31226524686997,0.0
t136,410.8061347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-708.0,88.15,-0.0,209.04386524686987,0.0
t137,294.65013475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799.0,20.95,-0.0,483.39986524686987,0.0
t138,260.15333475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-919.0,149.6,-0.0,402.2466652468699,0.0
t139,291.4847347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-959.0,20.400000000000006,-0.0,540.11526524687,0.0
t140,280.8921347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,0.0,-0.0,564.1078652468699,0.0
t141,295.6913347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-940.0,0.0,-0.0,537.3086652468699,0.0
t142,295.9269347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-929.0,0.0,-0.0,633.0730652468699,0.0
t143,297.14013475313016,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-872.0,0.0,-0.0,574.8598652468697,0.0
t144,284.3823347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-814.0,0.0,-0.0,529.6176652468699,0.0
t145,282.5153347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-798.0,0.0,-0.0,515.4846652468698,0.0
t146,268.6169347531301,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-754.0,0.0,-0.0,485.38306524687,0.0
t147,269.5723347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,0.0,-0.0,549.4276652468698,0.0
t148,281.74953475313015,0.0,-18.882352941176478,0.0,0.0,0.0,0.0,0.0,0.0,-682.0,0.0,-0.0,419.1328181880464,0.0
t149,293.41193475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-664.0,0.0,-0.0,370.5880652468699,0.0
t150,307.51493475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-668.0,0.0,-0.0,360.48506524686985,0.0
t151,312.68413475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-710.0,0.0,-0.0,397.3158652468698,0.0
t152,400.8617347531302,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-736.0,6.75,-0.0,221.38826524686976,0.0
t153,530.8421347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-712.0,70.30000000000001,-0.0,110.85786524686984,0.0
t154,573.44633475313,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-681.0,60.276470588235284,-0.0,47.27719465863464,0.0
t155,578.8587347531302,0.0,-75.52941176470594,0.0,0.0,0.0,0.0,0.0,0.0,-650.0,38.0235294117647,-0.0,108.64714759981109,0.0
t156,564.06693475313,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-613.0,25.900000000000006,-0.0,130.03306524686997,0.0
t157,561.2849347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-594.0,26.200000000000003,-0.0,113.51506524686982,0.0
t158,573.2853347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-577.0,29.700000000000003,-0.0,81.01466524686981,0.0
t159,624.9193347531301,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-616.0,75.60000000000001,-0.0,22.480665246869876,0.0
t160,578.93313475313,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-686.0,52.85000000000001,-0.0,54.21686524686994,0.0
t161,412.62453475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-782.0,4.85,-0.0,364.5254652468697,0.0
t162,334.61733475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-910.0,149.6,-0.0,318.78266524686984,0.0
t163,355.7127347531301,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-952.0,20.400000000000006,-0.0,468.88726524686984,0.0
t164,337.88793475313014,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-946.0,0.0,-0.0,501.11206524686975,0.0
t165,346.21933475313017,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-930.0,0.0,-0.0,476.7806652468699,0.0
t166,343.69453475313014,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-908.0,0.0,-0.0,564.3054652468699,0.0
t167,328.92593475313015,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-840.0,0.0,-0.0,511.0740652468698,0.0
t168,335.2845347531302,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-784.0,0.0,-0.0,448.71546524686977,0.0
t169,216.47798760382292,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-805.0,0.0,-0.0,588.5220123961772,0.0
t170,209.00485081649612,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-756.0,0.0,-0.0,546.9951491835038,0.0
t171,200.0601140291693,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-722.0,0.0,-0.0,628.9398859708307,0.0
t172,206.373,0.0,-37.764705882352956,0.0,0.0,0.0,0.0,0.0,0.0,-711.0,0.0,-0.0,542.3917058823529,0.0
t173,223.46713678732678,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,0.0,-0.0,617.5328632126732,0.0
t174,298.94427357465355,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799.0,0.0,-0.0,500.0557264253464,0.0
t175,301.6152103619804,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-893.0,0.0,-0.0,484.3847896380196,0.0
t176,393.2228735746536,107.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-915.0,26.4,-0.0,388.3771264253463,0.0
t177,486.7591367873269,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-837.0,111.1,-0.0,239.1408632126733,0.0
t178,536.0690000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-741.0,110.8,-0.0,94.13099999999993,0.0
t179,575.3376632126732,0.0,-104.57107497737906,0.0,0.0,0.0,0.0,0.0,0.0,-643.0,100.99999999999999,-0.0,71.2334117647058,0.0
t180,567.3659264253463,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-594.0,88.99999999999999,-0.0,44.634073574653726,0.0
t181,577.1046632126731,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-571.0,85.8,-0.0,15.095336787326836,0.0
t182,586.6999999999999,0.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0,-572.0,92.30000000000001,-0.0,0.0,0.0
