Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NM_landbasedwind_class3_conservative_0,5,None,0.0,0.0,0.0,2499.902703678676,2499.902703678676,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_1,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_2,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_3,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_4,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_5,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_6,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_7,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_8,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_landbasedwind_class3_conservative_9,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_utilitypv_class1_conservative_1,5,None,0.0,0.0,0.0,848.6094427408723,848.6094427408723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_utilitypv_class1_conservative_2,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_utilitypv_class1_conservative_3,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_utilitypv_class1_conservative_4,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_utilitypv_class1_conservative_5,5,None,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW_landbasedwind_class3_conservative_0,6,None,0.0,0.0,0.0,21328.3,21328.3,5307.488354588763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
