Resource,Zone,region,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,cluster
Northern_California_Flow_Battery_157,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_158,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_159,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_166,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_172,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_178,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_179,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_180,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_25,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_26,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_29,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_31,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_35,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_38,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_41,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_44,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_5,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_51,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_57,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_68,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_70,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_73,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_76,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_80,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_82,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_83,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_84,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_85,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_92,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_94,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Flow_Battery_96,0,None,1,0,0.0,99999.0,0.0,247877.8919778,0,0
Northern_California_Geothermal_100,0,None,1,0,0.0,9.0,0.0,485679.0989236,0,0
Northern_California_Geothermal_35,0,None,1,0,0.0,22.7,0.0,483193.0844,0,0
Northern_California_Geothermal_5,0,None,1,0,0.0,538.9,0.0,488907.5199928,0,0
Northern_California_Geothermal_70,0,None,1,0,0.0,277.7,0.0,476458.4704344,0,0
Northern_California_Li_Battery_4hr_100,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_112,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_113,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_114,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_116,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_121,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_122,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_126,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_127,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_130,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_132,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_135,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_138,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_141,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_144,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_149,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_150,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_155,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_157,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_158,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_159,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_166,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_172,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_178,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_179,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_180,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_25,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_26,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_29,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_31,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_35,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_38,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_41,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_44,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_5,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_51,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_57,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_68,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_70,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_73,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_76,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_80,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_82,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_83,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_84,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_85,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_92,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_94,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_4hr_96,0,None,1,0,0.0,99999.0,0.0,122603.4725973,0,0
Northern_California_Li_Battery_8hr_100,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_112,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_113,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_114,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_116,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_121,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_122,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_126,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_127,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_130,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_132,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_135,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_138,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_141,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_144,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_149,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_150,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_155,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_157,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_158,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_159,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_166,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_172,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_178,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_179,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_180,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_25,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_26,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_29,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_31,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_35,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_38,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_41,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_44,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_5,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_51,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_57,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_68,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
Northern_California_Li_Battery_8hr_70,0,None,1,0,0.0,99999.0,0.0,202043.4725973,0,0
