Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,116,10656.0,14117.0,19158.0,12315.0,3699.0,23273.0,9943.0
,,,,,,,,117,10754.0,13852.0,18799.0,12318.0,3725.0,23177.0,9852.0
,,,,,,,,118,10857.0,13601.0,18459.0,12250.0,3791.0,23108.0,9723.0
,,,,,,,,119,11035.0,13270.0,18012.0,12405.0,3984.0,23101.0,9715.0
,,,,,,,,120,11817.0,13630.0,18500.0,12746.0,4111.0,23871.0,10005.0
,,,,,,,,121,10045.0,12480.0,16940.0,10864.0,3432.0,22487.0,8980.0
,,,,,,,,122,10359.0,12886.0,17489.0,11085.0,3516.0,23371.0,9301.0
,,,,,,,,123,10809.0,13556.0,18399.0,11211.0,3569.0,24255.0,9516.0
,,,,,,,,124,11108.0,14256.0,19348.0,11310.0,3591.0,25035.0,9755.0
,,,,,,,,125,11355.0,14946.0,20285.0,11274.0,3609.0,25312.0,9875.0
,,,,,,,,126,11610.0,15313.0,20784.0,11096.0,3627.0,25062.0,9908.0
,,,,,,,,127,11797.0,15446.0,20964.0,11004.0,3612.0,24506.0,9814.0
,,,,,,,,128,12129.0,15552.0,21107.0,10969.0,3620.0,23957.0,9785.0
,,,,,,,,129,12452.0,15697.0,21305.0,11035.0,3609.0,23286.0,9782.0
,,,,,,,,130,12722.0,15840.0,21499.0,11103.0,3638.0,22591.0,9865.0
,,,,,,,,131,12870.0,15977.0,21685.0,11249.0,3665.0,22235.0,9975.0
,,,,,,,,132,12888.0,15903.0,21583.0,11511.0,3695.0,22351.0,10133.0
,,,,,,,,133,12850.0,16387.0,22242.0,11710.0,3650.0,22941.0,10296.0
,,,,,,,,134,12503.0,16467.0,22351.0,11570.0,3539.0,23132.0,10406.0
,,,,,,,,135,12201.0,16030.0,21757.0,11363.0,3417.0,22833.0,10216.0
,,,,,,,,136,11721.0,15333.0,20810.0,10978.0,3294.0,22625.0,9916.0
,,,,,,,,137,11149.0,14522.0,19709.0,10604.0,3149.0,22402.0,9568.0
,,,,,,,,138,10574.0,13634.0,18505.0,10341.0,3055.0,22494.0,9255.0
,,,,,,,,139,10149.0,12885.0,17488.0,10193.0,2992.0,22370.0,9003.0
,,,,,,,,140,9891.0,12330.0,16734.0,10252.0,2990.0,22137.0,8709.0
,,,,,,,,141,9704.0,12200.0,16559.0,10279.0,2988.0,22001.0,8561.0
,,,,,,,,142,9678.0,11993.0,16278.0,10277.0,2989.0,21899.0,8483.0
,,,,,,,,143,9516.0,11714.0,15900.0,10399.0,3035.0,21860.0,8432.0
,,,,,,,,144,9598.0,12049.0,16352.0,10497.0,3117.0,22139.0,8542.0
,,,,,,,,145,12723.0,14283.0,19384.0,13908.0,4291.0,27005.0,11093.0
,,,,,,,,146,13009.0,15896.0,21571.0,14180.0,4289.0,28967.0,11836.0
