Period_Index,Rep_Period,Rep_Period_Index
1044,764,5
1045,764,5
1046,844,6
1047,764,5
1048,764,5
1049,764,5
1050,1039,8
1051,1051,9
1052,764,5
1053,1039,8
1054,1039,8
1055,1039,8
1056,1039,8
1057,764,5
1058,764,5
1059,764,5
1060,764,5
1061,1039,8
1062,1039,8
1063,1818,23
1064,764,5
1065,1818,23
1066,1818,23
1067,1818,23
1068,1818,23
1069,1818,23
1070,1818,23
1071,1071,10
1072,1818,23
1073,1818,23
1074,1818,23
1075,1818,23
1076,1818,23
1077,1818,23
1078,1818,23
1079,1818,23
1080,1818,23
1081,1818,23
1082,1818,23
1083,1818,23
1084,1818,23
1085,1818,23
1086,1086,11
1087,1087,12
1088,1818,23
1089,1818,23
1090,1818,23
1091,1818,23
1092,1818,23
1093,1093,13
1094,1818,23
1095,1818,23
1096,1039,8
1097,764,5
1098,764,5
1099,764,5
1100,764,5
1101,764,5
1102,764,5
1103,764,5
1104,764,5
1105,764,5
1106,1039,8
1107,1039,8
1108,1039,8
1109,764,5
1110,1039,8
1111,764,5
1112,1039,8
1113,1039,8
1114,844,6
1115,844,6
1116,844,6
1117,844,6
1118,844,6
1119,764,5
1120,764,5
1121,764,5
1122,764,5
1123,764,5
1124,764,5
1125,764,5
1126,764,5
1127,764,5
1128,764,5
1129,764,5
1130,764,5
1131,764,5
1132,764,5
1133,764,5
1134,764,5
1135,764,5
1136,764,5
1137,764,5
1138,1039,8
1139,764,5
1140,764,5
1141,764,5
1142,764,5
1143,764,5
1144,764,5
1145,764,5
1146,764,5
1147,764,5
1148,844,6
1149,764,5
1150,1039,8
1151,764,5
1152,1039,8
1153,764,5
1154,764,5
1155,764,5
1156,1039,8
1157,764,5
1158,844,6
1159,764,5
1160,764,5
1161,764,5
1162,844,6
1163,844,6
1164,844,6
1165,1039,8
1166,1039,8
1167,844,6
1168,764,5
1169,764,5
1170,764,5
1171,764,5
1172,1039,8
1173,844,6
1174,764,5
1175,1039,8
1176,1039,8
1177,764,5
1178,764,5
1179,1039,8
1180,844,6
1181,844,6
1182,1039,8
1183,1039,8
1184,844,6
1185,844,6
1186,844,6
1187,1039,8
1188,1039,8
1189,844,6
1190,844,6
