ELCC_Surface,Resource,ELCC_Axis_Index,ELCC_Axis_Multiplier
Solar_Storage,Riverside_Li_Battery_4hr_60,2,1.0
Solar_Storage,Riverside_Li_Battery_4hr_9,2,1.0
Solar_Storage,Riverside_Li_Battery_8hr_129,2,1.8571428571428557
Solar_Storage,Riverside_Li_Battery_8hr_59,2,1.8571428571428557
Solar_Storage,Riverside_Li_Battery_8hr_60,2,1.8571428571428557
Solar_Storage,Riverside_Li_Battery_8hr_9,2,1.8571428571428557
Solar_Storage,Riverside_Solar_129,1,1.257241012098669
Solar_Storage,Riverside_Solar_59,1,1.257241012098669
Solar_Storage,Riverside_Solar_60,1,1.257241012098669
Solar_Storage,Riverside_Solar_9,1,1.257241012098669
Solar_Storage,Riverside_West_Pumped_Storage_9,2,2.089285714285712
Solar_Storage,San_Diego_Pumped_Storage_119,2,2.089285714285712
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_15,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_16,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_19,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_2,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_40,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Flow_Battery_42,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_15,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_16,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_19,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_2,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_40,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_4hr_42,2,1.0
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_15,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_16,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_19,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_2,2,1.8571428571428557
