Sum Range ID,Index 1,Index 2,MODEL_YEARS,Multiplier
Greater_Imperial_Li_Battery_8hr_20_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_20_Generic,2035,-1.0
Greater_Imperial_Li_Battery_8hr_63_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_63,2035,-1.0
Greater_Imperial_Li_Battery_8hr_63_Generic_FCDS_constraint,System RA,Greater_Imperial_Li_Battery_8hr_63_Generic,2035,-1.0
Greater_Kramer_Flow_Battery_103_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_103,2035,-1.0
Greater_Kramer_Flow_Battery_103_Generic_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_103_Generic,2035,-1.0
Greater_Kramer_Flow_Battery_123_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_123,2035,-1.0
Greater_Kramer_Flow_Battery_123_Generic_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_123_Generic,2035,-1.0
Greater_Kramer_Flow_Battery_156_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_156,2035,-1.0
Greater_Kramer_Flow_Battery_156_Generic_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_156_Generic,2035,-1.0
Greater_Kramer_Flow_Battery_86_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_86,2035,-1.0
Greater_Kramer_Flow_Battery_86_Generic_FCDS_constraint,System RA,Greater_Kramer_Flow_Battery_86_Generic,2035,-1.0
Greater_Kramer_Li_Battery_4hr_103_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_103,2035,-1.0
Greater_Kramer_Li_Battery_4hr_103_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_103_Generic,2035,-1.0
Greater_Kramer_Li_Battery_4hr_123_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_123,2035,-1.0
Greater_Kramer_Li_Battery_4hr_123_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_123_Generic,2035,-1.0
Greater_Kramer_Li_Battery_4hr_156_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_156,2035,-1.0
Greater_Kramer_Li_Battery_4hr_156_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_156_Generic,2035,-1.0
Greater_Kramer_Li_Battery_4hr_86_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_86,2035,-1.0
Greater_Kramer_Li_Battery_4hr_86_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_4hr_86_Generic,2035,-1.0
Greater_Kramer_Li_Battery_8hr_103_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_103,2035,-1.0
Greater_Kramer_Li_Battery_8hr_103_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_103_Generic,2035,-1.0
Greater_Kramer_Li_Battery_8hr_123_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_123,2035,-1.0
Greater_Kramer_Li_Battery_8hr_123_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_123_Generic,2035,-1.0
Greater_Kramer_Li_Battery_8hr_156_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_156,2035,-1.0
Greater_Kramer_Li_Battery_8hr_156_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_156_Generic,2035,-1.0
Greater_Kramer_Li_Battery_8hr_86_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_86,2035,-1.0
Greater_Kramer_Li_Battery_8hr_86_Generic_FCDS_constraint,System RA,Greater_Kramer_Li_Battery_8hr_86_Generic,2035,-1.0
Greater_LA_Flow_Battery_18_FCDS_constraint,System RA,Greater_LA_Flow_Battery_18,2035,-1.0
Greater_LA_Flow_Battery_18_Generic_FCDS_constraint,System RA,Greater_LA_Flow_Battery_18_Generic,2035,-1.0
Greater_LA_Flow_Battery_30_FCDS_constraint,System RA,Greater_LA_Flow_Battery_30,2035,-1.0
Greater_LA_Flow_Battery_30_Generic_FCDS_constraint,System RA,Greater_LA_Flow_Battery_30_Generic,2035,-1.0
Greater_LA_Flow_Battery_4_FCDS_constraint,System RA,Greater_LA_Flow_Battery_4,2035,-1.0
Greater_LA_Flow_Battery_4_Generic_FCDS_constraint,System RA,Greater_LA_Flow_Battery_4_Generic,2035,-1.0
Greater_LA_Flow_Battery_58_FCDS_constraint,System RA,Greater_LA_Flow_Battery_58,2035,-1.0
Greater_LA_Flow_Battery_58_Generic_FCDS_constraint,System RA,Greater_LA_Flow_Battery_58_Generic,2035,-1.0
Greater_LA_Li_Battery_4hr_18_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_18,2035,-1.0
Greater_LA_Li_Battery_4hr_18_Generic_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_18_Generic,2035,-1.0
Greater_LA_Li_Battery_4hr_30_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_30,2035,-1.0
Greater_LA_Li_Battery_4hr_30_Generic_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_30_Generic,2035,-1.0
Greater_LA_Li_Battery_4hr_4_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_4,2035,-1.0
Greater_LA_Li_Battery_4hr_4_Generic_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_4_Generic,2035,-1.0
Greater_LA_Li_Battery_4hr_58_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_58,2035,-1.0
Greater_LA_Li_Battery_4hr_58_Generic_FCDS_constraint,System RA,Greater_LA_Li_Battery_4hr_58_Generic,2035,-1.0
Greater_LA_Li_Battery_8hr_18_FCDS_constraint,System RA,Greater_LA_Li_Battery_8hr_18,2035,-1.0
