Time_Index,Hybrid_Wind_Test
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0.003
1807,0
1808,0.001
1809,0
1810,0
1811,0
1812,0.003
1813,0.013
1814,0.005
1815,0
1816,0
1817,0.001
1818,0.01
1819,0.009
1820,0.001
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0
1834,0
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,0.004
1844,0.017
1845,0.02
1846,0.012
1847,0.004
1848,0
1849,0.46
1850,0.56
1851,0.623
1852,0.675
1853,0.722
1854,0.818
1855,0.833
1856,0.8
1857,0.845
1858,0.845
1859,0.807
1860,0.787
1861,0.833
1862,0.848
1863,0.876
1864,0.886
1865,0.782
1866,0.723
1867,0.697
1868,0.703
1869,0.77
1870,0.686
1871,0.532
1872,0.44
1873,0.401
1874,0.218
1875,0.08
1876,0.023
1877,0.001
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0.001
1889,0.012
1890,0.009
1891,0.011
1892,0.013
1893,0.011
1894,0.015
1895,0.052
1896,0.088
1897,0.132
1898,0.151
1899,0.175
1900,0.202
1901,0.234
1902,0.234
1903,0.258
1904,0.24
1905,0.182
1906,0.121
1907,0.092
1908,0.09
1909,0.084
1910,0.076
1911,0.077
1912,0.1
1913,0.205
1914,0.291
1915,0.298
1916,0.296
1917,0.296
1918,0.293
1919,0.285
1920,0.321
1921,0.376
1922,0.411
1923,0.441
1924,0.452
1925,0.463
1926,0.446
1927,0.422
1928,0.403
1929,0.389
1930,0.35
1931,0.318
1932,0.36
1933,0.406
1934,0.439
1935,0.412
1936,0.407
1937,0.395
1938,0.352
1939,0.321
1940,0.304
1941,0.27
1942,0.226
1943,0.17
1944,0.118
1945,0.063
1946,0.014
1947,0.001
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0.001
1962,0.01
1963,0.031
1964,0.057
1965,0.058
1966,0.055
1967,0.081
1968,0.134
1969,0.189
1970,0.207
1971,0.212
1972,0.201
1973,0.171
1974,0.175
1975,0.19
1976,0.203
1977,0.199
1978,0.168
1979,0.161
1980,0.191
1981,0.256
1982,0.333
1983,0.393
1984,0.46
1985,0.538
1986,0.615
1987,0.665
1988,0.639
1989,0.663
1990,0.784
1991,0.802
1992,0.744
1993,0.678
1994,0.661
1995,0.613
1996,0.454
1997,0.403
1998,0.386
1999,0.338
2000,0.34
2001,0.325
2002,0.309
2003,0.487
2004,0.68
2005,0.76
2006,0.829
2007,0.85
2008,0.85
2009,0.899
2010,0.859
2011,0.811
2012,0.786
2013,0.798
2014,0.818
2015,0.786
2016,0.8
