Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,LINK_STAGES
MT_WY_CO_landbasedwind_class3_advanced_7,4,1,0,0.0,7,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,130787.0,49618.8,0.985,36382.75,45.848,34742.361,729990.155,0.181,96045.0,0.3652474451575497,1
MT_WY_CO_landbasedwind_class3_advanced_8,4,1,0,0.0,8,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,138418.0,83052.0,0.985,72491.0,65.464,42373.566,890319.698,0.319,96045.0,0.2881066727806838,1
MT_WY_CO_landbasedwind_class3_advanced_9,4,1,0,0.0,9,0.0,0.0,0.0,MT_WY_CO,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,148402.0,49883.3,0.985,35685.0,53.149,52357.899,1100115.246,0.19,96045.0,0.4027169619954617,1
MT_WY_CO_utilitypv_class1_advanced_1,4,1,0,0.0,1,0.0,0.0,0.0,MT_WY_CO,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,71803.0,847490.0,0.994,99525.129,31.245,17618.246,370182.228,0.655,54185.0,0.2677317456761597,1
MT_WY_CO_utilitypv_class1_advanced_2,4,1,0,0.0,2,0.0,0.0,0.0,MT_WY_CO,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,85851.0,847465.0,0.994,103787.309,36.668,31666.246,665347.315,0.296,54185.0,0.2637270884921686,1
MT_WY_CO_utilitypv_class1_advanced_3,4,1,0,0.0,3,0.0,0.0,0.0,MT_WY_CO,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,92857.0,847571.2,0.994,122817.154,40.161,38672.364,812563.186,0.222,54185.0,0.2658283993393834,1
MT_WY_CO_utilitypv_class1_advanced_4,4,1,0,0.0,4,0.0,0.0,0.0,MT_WY_CO,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,100523.0,847380.6,0.994,125926.34,44.943,46338.568,973642.031,0.25,54185.0,0.2702210370053485,1
MT_WY_CO_utilitypv_class1_advanced_5,4,1,0,0.0,5,0.0,0.0,0.0,MT_WY_CO,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,109375.0,847454.1,0.994,107418.381,51.267,55190.297,1159623.448,0.342,54185.0,0.2607897901130992,1
NM_landbasedwind_class3_advanced_0,5,1,0,0.0,0,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,120846.0,33428.1,1.02,22399.0,28.458,21388.736,449404.557,0.211,99458.0,0.5321838092809223,1
NM_landbasedwind_class3_advanced_1,5,1,0,0.0,1,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,114999.0,11003.4,1.02,7453.5,29.421,15541.053,326537.294,0.083,99458.0,0.4895069551815481,1
