Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
t468,21040.7,1508.2,1743.4,28797.934633626297,9784.642821927722,23440.58974802536,171.59199232889586,4956.747492551226,446.50414882696646,258.2,4867.0,3741.2,0.0,10997.759044077775,3216.0316479421294,159.88455428789965,39.635352687975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.1391038305974,1640.6693964052051,217.8560892112451,723.7772114234187,22529.18848946744,521.3143568548049,141933.96608347492
t469,21040.7,1508.2,1743.4,30807.623089084198,11163.7,24929.811021040357,0.0,4409.190992935724,233.58690454047377,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,0.0,18.396831065204793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.7064148568345,2007.223656636277,254.19878118271183,679.9755589206925,23535.309152529964,521.3143568548049,150341.97975156087
t470,21040.7,1508.2,1743.4,32817.3115445421,11163.7,25807.5,0.0,4409.190992935724,414.56656229027374,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,0.0,122.64554084283584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.9267135799687,2379.9005245012086,291.1467514456301,288.96399913031286,26560.83971666331,521.3143568548049,156709.94969469984
t471,21040.7,1508.2,1743.4,34827.0,11163.7,25807.5,0.0,4409.190992935724,401.98575384214917,258.2,4867.0,3741.2,0.0,13678.426776891598,3664.8162150220755,0.0,122.64554084283584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,500.9693099231081,28597.839537150037,521.3143568548049,161526.28848346233
t472,19206.229634038482,1508.2,1743.4,34827.0,11163.7,25807.5,0.0,4827.390960052001,189.06850955565648,258.2,4515.937327532566,3173.712854916455,0.0,13678.426776891598,3664.8162150220755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.6207381861745,2758.7,328.7,218.17172704914145,27121.124832870508,469.17898337284953,156885.07855948748
t473,16857.402107791146,1508.2,1238.8898442385732,32314.889430678097,11163.7,25807.5,208.361704796,5344.817090045501,370.04816730545645,188.1314621451481,4445.724793038868,3173.712854916455,0.0,10883.85550071983,3664.8162150220755,135.90187122452377,104.24870977763103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,522.3443577126287,21606.403171314178,521.3143568548049,144732.4616375809
t474,15384.040591189792,1508.2,1238.8898442385732,31687.587494968135,7805.724979182107,23945.9734087316,321.94305947097945,5862.243220039,423.14068450039997,188.1314621451481,4445.724793038868,3173.712854916455,0.0,9253.97848354907,2671.0533911314046,181.91948901625838,104.24870977763103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,831.5865322205075,18977.20133452645,521.3143568548049,133198.81468949717
t475,13876.89387942009,1508.2,1238.8898442385732,29175.47692564623,7805.724979182107,23440.589748023966,530.3047642669794,6379.6693500325,604.1203422502,188.1314621451481,4445.724793038868,3079.2136764480506,0.0,9247.002886909557,1677.2905672407337,317.82136024078216,208.49741955526207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,403.2899060342297,328.7,1145.8982505727777,18942.21941228422,469.6390375960424,126598.09860512633
t476,11736.342917361444,1508.2,619.4449221192866,29175.47692564623,4447.749958364213,21579.063156755565,530.3047642669794,6897.095480026,604.1203422502,118.06292429029622,4094.6621205714337,3079.2136764480506,0.0,7466.763620505199,1677.2905672407337,317.82136024078216,208.49741955526207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,812.702419702319,287.5150816969208,1465.2795127694394,18539.240357595656,418.1170697450108,117167.76459715102
t477,8704.019350276832,1508.2,0.0,26663.366356324328,4447.749958364213,19717.536565487164,723.9720108368058,7414.521610019499,604.1203422502,118.06292429029622,4094.6621205714337,3079.2136764480506,0.0,5195.858495959888,683.5277433500628,317.82136024078216,312.74612933289313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1228.2375410042678,328.7,1789.7303188104925,15647.267583638528,393.35054689656204,104557.4646341023
